chain,platform,operation,execution_effect,decode_status,minute_index,minute_utc,record_count,distinct_transactions,coverage
solana,pump.fun,trade,not_committed,decoded,4,2026-09-14T12:04:00+00:00,2,2,complete
solana,pump.fun,trade,unknown,decoded,0,2026-09-14T12:00:00+00:00,7,7,complete
solana,pump.fun,trade,unknown,decoded,1,2026-09-14T12:01:00+00:00,11,11,complete
solana,pump.fun,trade,unknown,decoded,2,2026-09-14T12:02:00+00:00,19,19,complete
solana,pump.fun,trade,unknown,decoded,3,2026-09-14T12:03:00+00:00,14,14,complete
solana,pump.fun,trade,unknown,decoded,4,2026-09-14T12:04:00+00:00,13,13,complete
solana,pump.fun.pumpswap,liquidity_add,committed,decoded,2,2026-09-14T12:02:00+00:00,2,2,complete
solana,pump.fun.pumpswap,liquidity_add,committed,decoded,4,2026-09-14T12:04:00+00:00,2,2,complete
solana,pump.fun.pumpswap,liquidity_remove,committed,decoded,0,2026-09-14T12:00:00+00:00,4,4,complete
solana,pump.fun.pumpswap,liquidity_remove,committed,decoded,1,2026-09-14T12:01:00+00:00,1,1,complete
solana,pump.fun.pumpswap,liquidity_remove,committed,decoded,2,2026-09-14T12:02:00+00:00,4,4,complete
solana,pump.fun.pumpswap,liquidity_remove,committed,decoded,3,2026-09-14T12:03:00+00:00,1,1,complete
solana,pump.fun.pumpswap,liquidity_remove,committed,decoded,4,2026-09-14T12:04:00+00:00,3,3,complete
solana,pump.fun.pumpswap,other.BoostBuyAndBurnEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,23,23,complete
solana,pump.fun.pumpswap,other.BoostBuyAndBurnEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,17,17,complete
solana,pump.fun.pumpswap,other.BoostBuyAndBurnEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,15,15,complete
solana,pump.fun.pumpswap,other.BoostBuyAndBurnEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,6,6,complete
solana,pump.fun.pumpswap,other.BoostBuyAndBurnEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,7,7,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,28,26,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,14,13,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,14,13,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,19,19,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,19,18,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,unknown,decoded,1,2026-09-14T12:01:00+00:00,2,2,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,unknown,decoded,2,2026-09-14T12:02:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.ClaimCashbackEvent,unknown,decoded,4,2026-09-14T12:04:00+00:00,2,2,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,248,248,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,168,167,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,214,214,complete
